number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_operator,params_embedding_size,params_gat_heads,params_gat_v2,params_loss_fn,params_loss_phi_fn,params_lr,params_msg_passing,params_num_layers_mlp,params_num_layers_msg,state
94,0.7942637801170349,2025-05-10 17:22:07.801424,2025-05-10 17:22:31.656074,0 days 00:00:23.854650,32,0.2,concat,64,8.0,True,RANK,sqrt_exp,0.009070041725975286,GAT,1,2,COMPLETE
167,0.7941045165061951,2025-05-10 17:37:28.307501,2025-05-10 17:37:52.483077,0 days 00:00:24.175576,32,0.22,concat,64,4.0,True,RANK,sqrt_exp,0.008553806838808955,GAT,1,2,COMPLETE
133,0.791168212890625,2025-05-10 17:30:15.448237,2025-05-10 17:30:39.351945,0 days 00:00:23.903708,32,0.24000000000000002,concat,64,2.0,True,RANK,sqrt_exp,0.009873383116823798,GAT,1,2,COMPLETE
193,0.7906173467636108,2025-05-10 17:43:02.720686,2025-05-10 17:43:26.945098,0 days 00:00:24.224412,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.007716270149222712,GAT,1,2,COMPLETE
121,0.7899714112281799,2025-05-10 17:25:51.108408,2025-05-10 17:26:14.957793,0 days 00:00:23.849385,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008898680612118917,GAT,1,2,COMPLETE
181,0.7895973324775696,2025-05-10 17:39:52.762949,2025-05-10 17:40:17.128381,0 days 00:00:24.365432,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.00696846308720321,GAT,1,2,COMPLETE
126,0.7893401980400085,2025-05-10 17:27:50.896179,2025-05-10 17:28:14.448178,0 days 00:00:23.551999,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008816696978981062,GAT,1,2,COMPLETE
129,0.7891811728477478,2025-05-10 17:29:02.114056,2025-05-10 17:29:25.266670,0 days 00:00:23.152614,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.009684051020002955,GAT,1,2,COMPLETE
131,0.7890143394470215,2025-05-10 17:29:27.297700,2025-05-10 17:29:50.704552,0 days 00:00:23.406852,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008680783554845988,GAT,1,2,COMPLETE
157,0.7889559864997864,2025-05-10 17:35:23.174973,2025-05-10 17:35:46.821871,0 days 00:00:23.646898,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.007624358759450387,GAT,1,2,COMPLETE
120,0.7888490557670593,2025-05-10 17:25:27.321057,2025-05-10 17:25:51.108063,0 days 00:00:23.787006,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008598804173474674,GAT,1,2,COMPLETE
116,0.7886583209037781,2025-05-10 17:24:56.047790,2025-05-10 17:25:19.910445,0 days 00:00:23.862655,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.009957555733041608,GAT,1,2,COMPLETE
125,0.7884902954101562,2025-05-10 17:27:26.906704,2025-05-10 17:27:50.895813,0 days 00:00:23.989109,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.009867927685895905,GAT,1,2,COMPLETE
161,0.7881108522415161,2025-05-10 17:36:00.499640,2025-05-10 17:36:24.498404,0 days 00:00:23.998764,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008291225599498735,GAT,1,2,COMPLETE
196,0.7880704998970032,2025-05-10 17:44:14.956269,2025-05-10 17:44:39.181481,0 days 00:00:24.225212,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008791146899933131,GAT,1,2,COMPLETE
174,0.7880329489707947,2025-05-10 17:38:30.687169,2025-05-10 17:38:55.240415,0 days 00:00:24.553246,32,0.22,concat,64,2.0,True,RANK,sqrt_exp,0.008685585189211146,GAT,1,2,COMPLETE
