epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.023629628121852875,0.5582550764083862
0,49,0.10306194424629211,,
1,99,,0.02449728734791279,0.6031712293624878
1,99,0.08006281405687332,,
2,149,,0.023674694821238518,0.6498989462852478
2,149,0.07922793179750443,,
3,199,,0.021583447232842445,0.6954705119132996
3,199,0.07815903425216675,,
4,249,,0.021310018375515938,0.701695442199707
4,249,0.07797763496637344,,
5,299,,0.020455937832593918,0.7015597820281982
5,299,0.077267587184906,,
6,349,,0.02083335816860199,0.7014182209968567
6,349,0.07754430919885635,,
7,399,,0.022098151966929436,0.7012515664100647
7,399,0.07707329839468002,,
8,449,,0.020198093727231026,0.7019500136375427
8,449,0.07695256918668747,,
9,499,,0.02322584204375744,0.7027375102043152
9,499,0.07685860246419907,,
10,549,,0.01908101886510849,0.7020556330680847
10,549,0.07695376873016357,,
11,599,,0.023115666583180428,0.7031077742576599
11,599,0.07718390226364136,,
12,649,,0.020428834483027458,0.7053194046020508
12,649,0.07658776640892029,,
13,699,,0.018904738128185272,0.7059773802757263
13,699,0.07622017711400986,,
14,749,,0.019998352974653244,0.7068703174591064
14,749,0.07711189240217209,,
