epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,12,,24236.18359375,0.7300730347633362
0,12,25150.25390625,,
1,25,,23750.208984375,0.7660813331604004
1,25,24535.501953125,,
2,38,,23777.060546875,0.7589249014854431
2,38,24292.78125,,
3,51,,23600.40625,0.768613874912262
3,51,24248.81640625,,
4,64,,23580.46875,0.7709859013557434
4,64,24184.52734375,,
5,77,,23403.06640625,0.7676505446434021
5,77,24138.53515625,,
6,90,,23533.72265625,0.7745305299758911
6,90,24161.90234375,,
7,103,,23587.7890625,0.7706435918807983
7,103,24076.24609375,,
8,116,,23463.517578125,0.7705241441726685
8,116,24074.1875,,
9,129,,23360.828125,0.774885356426239
9,129,24033.078125,,
10,142,,23507.322265625,0.77175372838974
10,142,24086.30859375,,
11,155,,23441.96484375,0.7717480063438416
11,155,24034.71484375,,
12,168,,23565.265625,0.7742515802383423
12,168,23997.18359375,,
13,181,,23269.30859375,0.7745490670204163
13,181,24024.484375,,
14,194,,23429.33203125,0.7721549868583679
14,194,24017.21875,,
