epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,12,,24904.322265625,0.666471004486084
0,12,25370.62890625,,
1,25,,24667.28515625,0.7334722280502319
1,25,25056.890625,,
2,38,,24251.42578125,0.7435854077339172
2,38,24796.490234375,,
3,51,,24129.53515625,0.7416096925735474
3,51,24626.25390625,,
4,64,,23969.333984375,0.7442251443862915
4,64,24567.779296875,,
5,77,,24098.732421875,0.7464997172355652
5,77,24570.6875,,
6,90,,24003.439453125,0.7461479902267456
6,90,24532.326171875,,
7,103,,23917.1640625,0.7497556209564209
7,103,24506.1171875,,
8,116,,24151.6484375,0.7458834648132324
8,116,24497.833984375,,
9,129,,23940.55859375,0.7502520084381104
9,129,24477.3125,,
10,142,,24006.65625,0.748332142829895
10,142,24451.341796875,,
11,155,,23869.03515625,0.7525320053100586
11,155,24520.57421875,,
12,168,,23968.83203125,0.7544270157814026
12,168,24497.447265625,,
13,181,,23827.703125,0.754535973072052
13,181,24448.208984375,,
14,194,,24031.984375,0.7482517957687378
14,194,24459.3125,,
