number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_operator,params_embedding_size,params_gat_heads,params_gat_v2,params_loss_fn,params_loss_phi_fn,params_lr,params_msg_passing,params_num_layers_mlp,params_num_layers_msg,state
152,0.8619802594184875,2025-05-10 17:42:42.746744,2025-05-10 17:43:10.318969,0 days 00:00:27.572225,64,0.2,concat,256,,,RANK,sqrt_exp,0.004714591739606036,GCN,3,2,COMPLETE
135,0.8617891073226929,2025-05-10 17:36:58.711260,2025-05-10 17:37:26.062462,0 days 00:00:27.351202,64,0.22,concat,256,,,RANK,sqrt_exp,0.004847962979049368,GCN,2,2,COMPLETE
106,0.861721396446228,2025-05-10 17:29:44.694153,2025-05-10 17:30:12.430386,0 days 00:00:27.736233,64,0.22,concat,256,,,RANK,sqrt_exp,0.002336431918852812,GCN,5,2,COMPLETE
171,0.861070454120636,2025-05-10 17:45:54.940452,2025-05-10 17:46:10.227698,0 days 00:00:15.287246,64,0.22,concat,256,,,RANK,sqrt_exp,0.0045274915334483625,GCN,3,2,COMPLETE
41,0.8607687950134277,2025-05-10 17:12:28.509878,2025-05-10 17:12:55.345883,0 days 00:00:26.836005,64,0.34,concat,256,,,RANK,sqrt_exp,0.0026327552902337585,GCN,1,2,COMPLETE
151,0.8605582118034363,2025-05-10 17:42:15.435061,2025-05-10 17:42:42.746405,0 days 00:00:27.311344,64,0.2,concat,256,,,RANK,sqrt_exp,0.005099360156590128,GCN,3,2,COMPLETE
42,0.8603754043579102,2025-05-10 17:12:55.346211,2025-05-10 17:13:22.293083,0 days 00:00:26.946872,64,0.36,concat,256,,,RANK,sqrt_exp,0.002719283954611668,GCN,1,2,COMPLETE
157,0.8602444529533386,2025-05-10 17:43:44.397845,2025-05-10 17:44:11.937653,0 days 00:00:27.539808,64,0.2,concat,256,,,RANK,sqrt_exp,0.008687359153179407,GCN,3,2,COMPLETE
73,0.8597672581672668,2025-05-10 17:20:56.707335,2025-05-10 17:21:23.868784,0 days 00:00:27.161449,64,0.34,concat,256,,,RANK,sqrt_exp,0.005706158003721452,GCN,5,2,COMPLETE
124,0.8594438433647156,2025-05-10 17:34:23.208704,2025-05-10 17:34:50.510150,0 days 00:00:27.301446,64,0.22,concat,256,,,RANK,sqrt_exp,0.0029359206309625043,GCN,2,2,COMPLETE
97,0.8592789769172668,2025-05-10 17:28:08.000290,2025-05-10 17:28:35.831329,0 days 00:00:27.831039,64,0.30000000000000004,concat,256,,,RANK,sqrt_exp,0.006517503363353543,GCN,5,2,COMPLETE
123,0.859079897403717,2025-05-10 17:33:55.682768,2025-05-10 17:34:23.208371,0 days 00:00:27.525603,64,0.22,concat,256,,,RANK,sqrt_exp,0.0031000448350522697,GCN,2,2,COMPLETE
167,0.8589966297149658,2025-05-10 17:45:21.241382,2025-05-10 17:45:36.705809,0 days 00:00:15.464427,64,0.2,concat,256,,,RANK,sqrt_exp,0.00524341440563533,GCN,3,2,COMPLETE
39,0.8589749932289124,2025-05-10 17:11:59.293766,2025-05-10 17:12:26.209543,0 days 00:00:26.915777,64,0.34,concat,256,,,RANK,sqrt_exp,0.005804234095427563,GCN,1,2,COMPLETE
134,0.8589143753051758,2025-05-10 17:36:31.309094,2025-05-10 17:36:58.710924,0 days 00:00:27.401830,64,0.22,concat,256,,,RANK,sqrt_exp,0.0048677062331236075,GCN,2,2,COMPLETE
148,0.8588578701019287,2025-05-10 17:41:43.265432,2025-05-10 17:42:10.923147,0 days 00:00:27.657715,64,0.2,concat,256,,,RANK,sqrt_exp,0.005698570226729919,GCN,3,2,COMPLETE
162,0.8586382269859314,2025-05-10 17:44:46.618570,2025-05-10 17:45:02.361357,0 days 00:00:15.742787,64,0.2,concat,256,,,RANK,sqrt_exp,0.007466059742611957,GCN,3,2,COMPLETE
119,0.8586176037788391,2025-05-10 17:32:29.413273,2025-05-10 17:32:56.746408,0 days 00:00:27.333135,64,0.24000000000000002,concat,256,,,RANK,sqrt_exp,0.00363789395877849,GCN,2,2,COMPLETE
140,0.8585535287857056,2025-05-10 17:38:28.496359,2025-05-10 17:38:55.883527,0 days 00:00:27.387168,64,0.22,concat,256,,,RANK,sqrt_exp,0.0040297667358520015,GCN,3,2,COMPLETE
65,0.8584583401679993,2025-05-10 17:18:35.175294,2025-05-10 17:19:02.237389,0 days 00:00:27.062095,64,0.2,concat,256,,,RANK,sqrt_exp,0.006272410540655003,GCN,3,2,COMPLETE
146,0.8583856225013733,2025-05-10 17:40:48.019238,2025-05-10 17:41:15.566027,0 days 00:00:27.546789,64,0.2,concat,256,,,RANK,sqrt_exp,0.005714690748998865,GCN,3,2,COMPLETE
44,0.8582780361175537,2025-05-10 17:13:47.848686,2025-05-10 17:14:13.303771,0 days 00:00:25.455085,64,0.38,concat,64,,,RANK,sqrt_exp,0.004544751016916696,GCN,2,2,COMPLETE
193,0.858272135257721,2025-05-10 17:48:23.030778,2025-05-10 17:48:38.304486,0 days 00:00:15.273708,64,0.22,concat,256,,,RANK,sqrt_exp,0.005321070997026997,GCN,3,2,COMPLETE
168,0.8582384586334229,2025-05-10 17:45:36.706129,2025-05-10 17:45:51.951739,0 days 00:00:15.245610,64,0.2,concat,256,,,RANK,sqrt_exp,0.007189007923926552,GCN,3,2,COMPLETE
186,0.8581000566482544,2025-05-10 17:47:46.898161,2025-05-10 17:48:02.226643,0 days 00:00:15.328482,64,0.24000000000000002,concat,256,,,RANK,sqrt_exp,0.006187211872481182,GCN,3,2,COMPLETE
68,0.8580836653709412,2025-05-10 17:19:31.339660,2025-05-10 17:19:58.134469,0 days 00:00:26.794809,64,0.34,concat,256,,,RANK,sqrt_exp,0.00647773851829409,GCN,1,2,COMPLETE
175,0.8580614924430847,2025-05-10 17:46:41.805473,2025-05-10 17:46:57.155474,0 days 00:00:15.350001,64,0.24000000000000002,concat,256,,,RANK,sqrt_exp,0.005371631749735635,GCN,3,2,COMPLETE
181,0.8580081462860107,2025-05-10 17:47:06.245995,2025-05-10 17:47:21.588011,0 days 00:00:15.342016,64,0.22,concat,256,,,RANK,sqrt_exp,0.004572881123524192,GCN,3,2,COMPLETE
82,0.857737123966217,2025-05-10 17:24:18.319233,2025-05-10 17:24:47.315631,0 days 00:00:28.996398,32,0.32,concat,256,,,RANK,sqrt_exp,0.0015947516420783657,GCN,1,2,COMPLETE
143,0.8577370643615723,2025-05-10 17:39:50.911610,2025-05-10 17:40:18.343281,0 days 00:00:27.431671,64,0.2,concat,256,,,RANK,sqrt_exp,0.005710715618732978,GCN,3,2,COMPLETE
173,0.8576921820640564,2025-05-10 17:46:11.470184,2025-05-10 17:46:26.655804,0 days 00:00:15.185620,64,0.2,concat,256,,,RANK,sqrt_exp,0.004761245131678037,GCN,3,2,COMPLETE
197,0.857668399810791,2025-05-10 17:48:56.104452,2025-05-10 17:49:11.456343,0 days 00:00:15.351891,64,0.24000000000000002,concat,256,,,RANK,sqrt_exp,0.006121893156759403,GCN,3,2,COMPLETE
192,0.8575965166091919,2025-05-10 17:48:07.852813,2025-05-10 17:48:23.030481,0 days 00:00:15.177668,64,0.2,concat,256,,,RANK,sqrt_exp,0.0067392717399591875,GCN,2,2,COMPLETE
121,0.8575936555862427,2025-05-10 17:33:26.156559,2025-05-10 17:33:53.419486,0 days 00:00:27.262927,64,0.24000000000000002,concat,256,,,RANK,sqrt_exp,0.0035754381258842538,GCN,2,2,COMPLETE
83,0.8575864434242249,2025-05-10 17:24:47.315956,2025-05-10 17:25:16.376480,0 days 00:00:29.060524,32,0.32,concat,256,,,RANK,sqrt_exp,0.005197899908986856,GCN,1,2,COMPLETE
118,0.8575198650360107,2025-05-10 17:32:01.838320,2025-05-10 17:32:29.412907,0 days 00:00:27.574587,64,0.36,concat,256,,,RANK,sqrt_exp,0.0037497213736314714,GCN,2,2,COMPLETE
147,0.8572214245796204,2025-05-10 17:41:15.566368,2025-05-10 17:41:43.265097,0 days 00:00:27.698729,64,0.2,concat,256,,,RANK,sqrt_exp,0.00411859041361685,GCN,3,2,COMPLETE
100,0.8571077585220337,2025-05-10 17:28:42.063867,2025-05-10 17:29:08.858031,0 days 00:00:26.794164,64,0.36,concat,128,,,RANK,sqrt_exp,0.0043214199133722025,GCN,5,2,COMPLETE
91,0.856960117816925,2025-05-10 17:26:28.296577,2025-05-10 17:26:55.637671,0 days 00:00:27.341094,64,0.32,concat,256,,,RANK,sqrt_exp,0.003760408897324642,GCN,1,2,COMPLETE
153,0.8569377064704895,2025-05-10 17:43:10.319319,2025-05-10 17:43:37.694562,0 days 00:00:27.375243,64,0.2,concat,256,,,RANK,sqrt_exp,0.004814456600299513,GCN,3,2,COMPLETE
