epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4883.6025390625,0.8168692588806152
0,15,8474.70703125,,
1,31,,4560.43994140625,0.8513211011886597
1,31,7739.744140625,,
2,47,,4667.69873046875,0.8563366532325745
2,47,7579.2734375,,
3,63,,4597.23779296875,0.8558112382888794
3,63,7557.44775390625,,
4,79,,4641.53515625,0.8229787349700928
4,79,7489.88720703125,,
5,95,,4427.1494140625,0.8554748296737671
5,95,7519.46630859375,,
6,111,,4429.154296875,0.8578037619590759
6,111,7419.248046875,,
7,127,,4539.53271484375,0.8520095944404602
7,127,7409.49609375,,
8,143,,4319.73974609375,0.8569387793540955
8,143,7387.6943359375,,
9,159,,4563.0537109375,0.853553831577301
9,159,7360.7724609375,,
10,175,,4367.96142578125,0.8594279885292053
10,175,7432.08837890625,,
11,191,,4397.96826171875,0.8566595315933228
11,191,7320.33203125,,
12,207,,4313.32275390625,0.8602865934371948
12,207,7365.53662109375,,
13,223,,4339.13720703125,0.8578363656997681
13,223,7396.80859375,,
14,239,,4410.6513671875,0.8580614924430847
14,239,7389.15087890625,,
