epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4889.1708984375,0.8114272952079773
0,15,8498.857421875,,
1,31,,4635.07861328125,0.8438228368759155
1,31,7800.24658203125,,
2,47,,4559.93896484375,0.8544580936431885
2,47,7637.51220703125,,
3,63,,4625.53076171875,0.8529797196388245
3,63,7604.6181640625,,
4,79,,4577.697265625,0.8492711186408997
4,79,7522.6318359375,,
5,95,,4495.724609375,0.8534030914306641
5,95,7500.8583984375,,
6,111,,4608.134765625,0.8371420502662659
