epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,30,,0.1583251804113388,0.4001126289367676
0,30,0.156764417886734,,
1,61,,0.15355639159679413,0.41001760959625244
1,61,0.15272681415081024,,
2,92,,0.14452606439590454,0.4376709461212158
2,92,0.14606066048145294,,
3,123,,0.11214739084243774,0.4712008237838745
3,123,0.1289949119091034,,
4,154,,0.059691157191991806,0.4882369637489319
4,154,0.09952619671821594,,
5,185,,0.06090156361460686,0.48927873373031616
5,185,0.09535271674394608,,
6,216,,0.061844129115343094,0.4902131259441376
6,216,0.09463797509670258,,
7,247,,0.061387475579977036,0.4932402968406677
7,247,0.09413585066795349,,
8,278,,0.06059543788433075,0.4970910847187042
8,278,0.09445617347955704,,
9,309,,0.06010656803846359,0.4965014159679413
9,309,0.09469813108444214,,
10,340,,0.06027454137802124,0.49408209323883057
10,340,0.09400063008069992,,
11,371,,0.0603005513548851,0.49804234504699707
11,371,0.09396160393953323,,
12,402,,0.05912884697318077,0.5020025372505188
12,402,0.09482010453939438,,
13,433,,0.05909549817442894,0.5035603642463684
13,433,0.0939779281616211,,
14,464,,0.057176392525434494,0.507682204246521
14,464,0.09426625818014145,,
