epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,49,,0.1907867193222046,7176.1923828125,0.6845817565917969,0.725696325302124
0,49,7423.18896484375,,,,
1,99,,0.2645431160926819,6706.55029296875,0.8273972272872925,0.8296907544136047
1,99,7167.3798828125,,,,
2,149,,0.262934148311615,6591.3046875,0.832660436630249,0.8305951356887817
2,149,7001.578125,,,,
3,199,,0.2623770833015442,6549.43115234375,0.828876793384552,0.8355498313903809
3,199,6951.3974609375,,,,
4,249,,0.2647450864315033,6538.47216796875,0.8323276042938232,0.8325552940368652
4,249,6938.4921875,,,,
5,299,,0.27098870277404785,6621.09228515625,0.8342827558517456,0.8375124335289001
5,299,6927.6279296875,,,,
6,349,,0.2677222192287445,6515.25390625,0.838304340839386,0.8384920954704285
6,349,6923.0732421875,,,,
7,399,,0.2672879993915558,6553.72216796875,0.8371400833129883,0.8400617241859436
7,399,6889.1220703125,,,,
8,449,,0.2675674259662628,6514.5166015625,0.8370487689971924,0.8479054570198059
8,449,6884.76953125,,,,
9,499,,0.26954853534698486,6553.85009765625,0.8372439742088318,0.8496108651161194
9,499,6863.21923828125,,,,
10,549,,0.2706749439239502,6474.12109375,0.8333772420883179,0.8542357683181763
10,549,6887.6982421875,,,,
11,599,,0.2737414538860321,6463.99853515625,0.8350827693939209,0.8583015203475952
11,599,6854.380859375,,,,
12,649,,0.2706110179424286,6489.9775390625,0.8323537707328796,0.8585982322692871
12,649,6842.9638671875,,,,
13,699,,0.2676732540130615,6448.8828125,0.8343111872673035,0.8572682738304138
13,699,6842.328125,,,,
14,749,,0.2716737389564514,6429.06884765625,0.8346630930900574,0.8469133973121643
14,749,6823.62890625,,,,
15,799,,0.27194398641586304,6446.8193359375,0.8325080275535583,0.8434659838676453
15,799,6816.912109375,,,,
16,849,,0.2734925448894501,6405.8974609375,0.8366546630859375,0.8460932374000549
16,849,6806.501953125,,,,
17,899,,0.27600955963134766,6427.24609375,0.8339437246322632,0.846686840057373
17,899,6796.3544921875,,,,
18,949,,0.2779117524623871,6404.53369140625,0.8374874591827393,0.8511481881141663
18,949,6801.5859375,,,,
19,999,,0.278125524520874,6382.4501953125,0.8368659019470215,0.8504034280776978
19,999,6789.71923828125,,,,
20,1049,,0.27832987904548645,6371.59375,0.8396784067153931,0.8459935784339905
20,1049,6787.78173828125,,,,
21,1099,,0.27354228496551514,6413.82421875,0.8390460014343262,0.8556550741195679
21,1099,6777.30078125,,,,
22,1149,,0.27554458379745483,6367.39208984375,0.8393712043762207,0.8576734662055969
22,1149,6789.4287109375,,,,
23,1199,,0.2760564088821411,6391.80908203125,0.8382133841514587,0.8590870499610901
23,1199,6771.50390625,,,,
24,1249,,0.27564695477485657,6361.4736328125,0.8390191793441772,0.8609548807144165
24,1249,6760.2705078125,,,,
25,1299,,0.2798094153404236,6350.1376953125,0.8407084345817566,0.8559868335723877
25,1299,6771.50146484375,,,,
26,1349,,0.27776071429252625,6409.53515625,0.8398692011833191,0.851665198802948
26,1349,6753.9013671875,,,,
