epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6595.69189453125,0.7575576901435852
0,24,7246.93310546875,,
1,49,,6571.59033203125,0.7633468508720398
1,49,6890.69384765625,,
2,74,,6560.10546875,0.76546710729599
2,74,6858.88916015625,,
3,99,,6542.39599609375,0.7656458020210266
3,99,6815.357421875,,
4,124,,6398.0986328125,0.7716651558876038
4,124,6778.92041015625,,
5,149,,6392.6396484375,0.7711700797080994
5,149,6755.4130859375,,
6,174,,6375.1748046875,0.7720876336097717
