number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_embedding_size,params_lr,params_num_layers_mlp,params_num_layers_msg,state
98,0.8706672191619873,2025-05-10 19:12:34.550818,2025-05-10 19:13:24.818840,0 days 00:00:50.268022,64,0.22,256,0.005499105458680673,3,2,COMPLETE
115,0.8694958686828613,2025-05-10 19:20:45.098644,2025-05-10 19:21:35.773110,0 days 00:00:50.674466,64,0.22,256,0.005498075553339193,3,2,COMPLETE
108,0.8692660331726074,2025-05-10 19:16:23.765114,2025-05-10 19:17:14.312296,0 days 00:00:50.547182,64,0.22,256,0.005473367884041399,3,2,COMPLETE
112,0.8687196373939514,2025-05-10 19:18:13.576220,2025-05-10 19:19:04.330211,0 days 00:00:50.753991,64,0.22,256,0.00539978165191253,3,2,COMPLETE
119,0.8679745197296143,2025-05-10 19:21:45.639502,2025-05-10 19:22:36.215485,0 days 00:00:50.575983,64,0.22,256,0.0054637970340266715,3,2,COMPLETE
104,0.8674523234367371,2025-05-10 19:15:22.473247,2025-05-10 19:16:13.053563,0 days 00:00:50.580316,64,0.2,256,0.006282576670872113,3,2,COMPLETE
30,0.8673928380012512,2025-05-10 18:54:49.753435,2025-05-10 18:56:20.433957,0 days 00:01:30.680522,64,0.28,256,0.00315796843987357,3,2,COMPLETE
110,0.86615389585495,2025-05-10 19:17:21.717068,2025-05-10 19:18:12.354210,0 days 00:00:50.637142,64,0.22,256,0.005344397243565135,3,2,COMPLETE
100,0.8661046624183655,2025-05-10 19:13:36.539488,2025-05-10 19:14:27.140805,0 days 00:00:50.601317,64,0.2,256,0.005325475064260317,3,2,COMPLETE
113,0.8659545183181763,2025-05-10 19:19:04.330500,2025-05-10 19:19:54.564593,0 days 00:00:50.234093,64,0.22,256,0.0054590516204595894,3,2,COMPLETE
