epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4965.92626953125,0.8158803582191467
0,30,8189.4072265625,,
1,61,,4603.947265625,0.8475058078765869
1,61,7714.11328125,,
2,92,,4564.1220703125,0.8493761420249939
2,92,7558.42041015625,,
3,123,,4513.67919921875,0.8562849164009094
3,123,7525.7392578125,,
4,154,,4530.13330078125,0.8507514595985413
4,154,7463.8955078125,,
5,185,,4460.6455078125,0.8544872403144836
5,185,7456.25146484375,,
6,216,,4490.97314453125,0.8517037034034729
6,216,7423.78125,,
7,247,,4417.3818359375,0.8536830544471741
7,247,7429.5166015625,,
8,278,,4377.0146484375,0.8554866313934326
8,278,7400.19384765625,,
9,309,,4405.875,0.8526735901832581
9,309,7424.52001953125,,
10,340,,4418.09765625,0.8497076034545898
