epoch,step,train_loss_RANK,val_kendall_corr_metric,val_loss_RANK,val_map_at_k_metric,val_ndcg_at_k_metric
0,15,,0.38397160172462463,4971.58056640625,0.8645104765892029,0.8096005916595459
0,15,8400.4677734375,,,,
1,31,,0.4200502038002014,4622.64306640625,0.8834090828895569,0.8467602133750916
1,31,7830.5166015625,,,,
2,47,,0.4419558048248291,4574.341796875,0.8906865119934082,0.8609721064567566
2,47,7660.15869140625,,,,
3,63,,0.42972061038017273,4512.28466796875,0.8926206827163696,0.8547897338867188
3,63,7636.4736328125,,,,
4,79,,0.42001068592071533,4559.453125,0.8830452561378479,0.82256680727005
4,79,7631.7177734375,,,,
5,95,,0.4462606608867645,4537.35791015625,0.8958542943000793,0.8775717616081238
5,95,7578.68896484375,,,,
6,111,,0.4421025812625885,4511.3779296875,0.8974910974502563,0.8849001526832581
6,111,7538.6083984375,,,,
7,127,,0.4369131326675415,4480.91015625,0.8970514535903931,0.8705084323883057
7,127,7529.43798828125,,,,
8,143,,0.4350028336048126,4541.71630859375,0.9001633524894714,0.8744947910308838
8,143,7502.4736328125,,,,
9,159,,0.43948614597320557,4474.8466796875,0.8979108929634094,0.8877801895141602
9,159,7503.99658203125,,,,
10,175,,0.4124869108200073,4535.04150390625,0.902161180973053,0.8689481019973755
10,175,7473.220703125,,,,
11,191,,0.423194020986557,4466.3828125,0.8998544812202454,0.8777650594711304
11,191,7555.3798828125,,,,
12,207,,0.4394744634628296,4355.34033203125,0.9007552266120911,0.8849373459815979
12,207,7452.4345703125,,,,
13,223,,0.4336138367652893,4414.60595703125,0.900419294834137,0.8799000382423401
13,223,7488.8935546875,,,,
14,239,,0.4418410658836365,4408.5634765625,0.8922884464263916,0.8768215775489807
14,239,7456.36572265625,,,,
15,255,,0.4328919053077698,4340.17236328125,0.9052687883377075,0.8730869889259338
15,255,7454.0068359375,,,,
16,271,,0.4351632297039032,4419.34521484375,0.8962050080299377,0.8788214921951294
16,271,7544.7880859375,,,,
17,287,,0.4440254271030426,4495.046875,0.901512622833252,0.8885021805763245
17,287,7509.51123046875,,,,
18,303,,0.4055134952068329,4516.3251953125,0.8971236348152161,0.8835753798484802
18,303,7529.689453125,,,,
19,319,,0.4291221797466278,4438.06787109375,0.9024128913879395,0.8759762048721313
19,319,7467.34033203125,,,,
20,335,,0.42299094796180725,4360.50830078125,0.902813196182251,0.876028299331665
20,335,7387.755859375,,,,
21,351,,0.43383535742759705,4339.18212890625,0.9002171754837036,0.8809977173805237
21,351,7413.34130859375,,,,
22,367,,0.4390791058540344,4330.81591796875,0.9076699018478394,0.879997730255127
22,367,7435.10986328125,,,,
23,383,,0.430574893951416,4378.8232421875,0.9016734957695007,0.8808614015579224
23,383,7437.7041015625,,,,
24,399,,0.42616090178489685,4438.24755859375,0.8952265977859497,0.876323401927948
24,399,7412.765625,,,,
25,415,,0.4363013803958893,4321.845703125,0.9008530974388123,0.8825398087501526
25,415,7394.423828125,,,,
26,431,,0.4343462884426117,4313.70751953125,0.9080132246017456,0.8631250858306885
26,431,7384.14208984375,,,,
27,447,,0.42820149660110474,4336.91064453125,0.9044123888015747,0.8809584379196167
27,447,7508.3642578125,,,,
28,463,,0.4285963773727417,4378.56689453125,0.9053710699081421,0.879715085029602
28,463,7398.193359375,,,,
29,479,,0.43352508544921875,4279.166015625,0.9025275707244873,0.8835505247116089
29,479,7379.9970703125,,,,
30,495,,0.4436562657356262,4332.40771484375,0.9055145978927612,0.8867760896682739
30,495,7407.9287109375,,,,
31,511,,0.43506720662117004,4520.56591796875,0.9020898938179016,0.8724915385246277
31,511,7524.45556640625,,,,
32,527,,0.4348216652870178,4316.1005859375,0.8965526223182678,0.8738954067230225
32,527,7453.29541015625,,,,
33,543,,0.43684327602386475,4347.84765625,0.9057769775390625,0.8823175430297852
33,543,7409.36767578125,,,,
34,559,,0.4323233664035797,4340.31689453125,0.9026759266853333,0.8840893507003784
34,559,7350.767578125,,,,
35,575,,0.4326455295085907,4437.5966796875,0.8987591862678528,0.8794093728065491
35,575,7378.83544921875,,,,
36,591,,0.42846938967704773,4318.84765625,0.9049922227859497,0.8696113228797913
36,591,7350.72119140625,,,,
37,607,,0.42776352167129517,4339.51953125,0.9002653360366821,0.8749715089797974
37,607,7334.28759765625,,,,
38,623,,0.41408631205558777,4334.7275390625,0.9065952301025391,0.877263605594635
38,623,7356.7255859375,,,,
39,639,,0.42710405588150024,4405.33203125,0.9060215353965759,0.8563767671585083
39,639,7378.3671875,,,,
40,655,,0.4228367507457733,4419.69189453125,0.906893789768219,0.8808181881904602
40,655,7370.73046875,,,,
41,671,,0.4367735981941223,4312.72021484375,0.9035394191741943,0.8829936981201172
41,671,7341.02978515625,,,,
42,687,,0.4315359890460968,4306.5048828125,0.9076117873191833,0.8834139704704285
42,687,7295.06298828125,,,,
43,703,,0.4331665635108948,4291.33984375,0.9056952595710754,0.8855056166648865
43,703,7289.96630859375,,,,
44,719,,0.43532970547676086,4313.29150390625,0.9059150218963623,0.8853475451469421
44,719,7281.01416015625,,,,
45,735,,0.4339686930179596,4300.6318359375,0.9069821834564209,0.8862606287002563
45,735,7287.86572265625,,,,
46,751,,0.43357014656066895,4285.4599609375,0.9066664576530457,0.884667158126831
46,751,7296.56298828125,,,,
47,767,,0.4324251711368561,4290.55419921875,0.9078466892242432,0.8848516345024109
47,767,7278.392578125,,,,
48,783,,0.4336039125919342,4305.8203125,0.9057978391647339,0.884414792060852
48,783,7286.81201171875,,,,
49,799,,0.43456926941871643,4297.2734375,0.9059603214263916,0.8852380514144897
49,799,7274.3017578125,,,,
50,815,,0.43157854676246643,4293.91796875,0.9075690507888794,0.885929524898529
50,815,7283.86767578125,,,,
51,831,,0.4338725805282593,4289.66064453125,0.9059603810310364,0.8847442865371704
51,831,7267.4443359375,,,,
52,847,,0.43341875076293945,4288.1455078125,0.9062800407409668,0.8852528929710388
